symbol,companyName,growthRevenue,growthNetIncome,growthEBITDA,growthEPS,growthEPSDiluted,revenue,netIncome,ebitda,marketCap,peRatio,eps,returnOnEquityTTM,freeCashFlowToEquityTTM,workingCapitalTTM,netDebtToEBITDATTM
DHHC,DiamondHead Holdings Corp.,1099.2197454647262,374.0658883735807,349.6612671724421,350.6751824817518,374.5089285714285,463714017000,46905740000,5130525000,165676880,115.27272727272728,0.11,2.7955174120366686,15468867201,164968000,-0.0071204850457731
XYZ,"Block, Inc.",0.1006327769007525,295.4640810478919,3.5927910452088336,292.75,285.1635220125786,24121053000,2897047000,1742583000,48485976497,17,4.68,0.139508240836522,6259000000,9636348000,-2.7050766069245378
SQ,"Block, Inc.",0.1006327769007525,295.4640810478919,2.4455688423424577,292.75,285.1635220125786,24121053000,2897047000,1345598000,51729675689,49.97604790419162,1.67,0.139508240836522,6259000000,9636348000,-2.7050766069245378
SFD,"Smithfield Foods, Inc.",-0.0340163934426229,55.05882352941177,1.2483443708609272,55.01851851851851,55.01851851851851,14142000000,953000000,1358000000,8455854414,10.24,2.1,0.1530820917323984,-1182000000,2953000000,1.101716465352829
PINS,"Pinterest, Inc.",0.193479955130339,53.291659646166806,2.9303535600802544,52.8939393939394,51.56818181818181,3646166000,1862106000,201083000,23098688891,12.31,2.76,0.449263784483993,2126942000,3116610000,-4.511383676710268
MRK,"Merck & Co., Inc.",0.0674207768443816,45.895890410958906,2.721731576661358,47.285714285714285,47.14285714285714,64168000000,17117000000,25706000000,218531053130,13.48,6.49,0.348798520274472,-12673000000,11028000000,1.094093214585247
MNK,Mallinckrodt plc,8.950141232999266,41.03183112749204,147.92378328741964,607.5,604.5,1979700000,477900000,960000000,4520986,-0.4361538461538461,-0.78,0.3264513958964009,-328500000,1158600000,0.4181399901903845
FTI,TechnipFMC plc,0.163061670350449,35.80786026200873,0.4654564315352697,36.54789272030651,37.2,9081300000,842900000,1412700000,16231040519,18.8,2.1,0.3052539074759902,1659900000,659100000,-0.0678730448681356
ST,Sensata Technologies Holding plc,-0.0334404842991125,33.866973650550015,-0.0989287778284032,34.07392996108949,34.07392996108949,3935060000,128477000,456835000,4642971511,42.51,0.75,0.0384691928587025,-2103422908,1412908000,5.994517391109295
CCL,Carnival Corporation & plc,0.1587551521326355,26.89189189189189,0.4236396890717878,26.000000000000004,25,25021000000,1916000000,6227000000,38448521143,15.15,1.94,0.2617785484270498,-23183000000,-7568000000,3.841748859119682
COIN,"Coinbase Global, Inc.",1.1117178931939855,26.1849774957574,20.64565858082068,25.05,24.621621621621625,6564028000,2579066000,3150807000,91074921916,34.12,10.39,0.2753245379815716,4936782000,9259718000,-0.8494188029873616
ALL,The Allstate Corporation,0.1230513224732877,25.824468085106385,8.137414965986395,15.35,15.158333333333331,64115000000,4667000000,6716000000,50906595475,9.09,21.25,0.2634597762266242,1402000000,31551000000,0.8602620087336245
UPBD,"Upbound Group, Inc.",0.0821936508071684,24.84205445066615,0.1668301547802203,24.99150743099787,24.460721868365177,4320564000,123478000,339012000,1315966988,12.63,1.8,0.1567721396319032,-1589105000,1057949001,2.6939787894448552
TAL,TAL Education Group,0.5097776495531521,24.675062972292192,4.356734507203293,21.8955223880597,24.72881355932203,2250233000,84591000,132111000,7667374340,74.12,0.17,0.0281294216295086,1650777371,2273943941,-8.744913060091488
BROS,Dutch Bros Inc.,0.3264100578187903,19.522700814901047,0.7310242872228089,10.191335740072205,10.191335740072205,1281015000,35258000,204910000,9219241075,123.72,0.46,0.0997201344225948,-456791000,126654000,2.2564656365952263
BVN,Compañía de Minas Buenaventura S.A.A.,0.4014832887254277,19.281490808360616,2.4495667942776547,19.33248081841432,19.33248081841432,1154605000,402689000,599207000,5700976050,13.7,1.64,0.1462744976276157,-147422732,594741000,0.3856996433925407
PAHC,Phibro Animal Health Corporation,0.2736973053389133,18.97682119205298,0.7516281158769369,18.96644295302013,18.96644295302013,1296215000,48264000,148200000,1715961095,35.57,1.19,0.1826447039412376,-505565000,517133000,3.7975898933697785
GME,GameStop Corp.,-0.2749582764375664,18.59701492537313,-0.1547169811320754,14,14,3823000000,131300000,22400000,10430414974,29.13,0.8,0.0723687186213759,4758200000,8608500000,-25.17068864037669
STGW,Stagwell Inc.,0.1242647428336044,15.85820895522388,-0.1320375665549201,17.545454545454547,16.727272727272727,2841216000,2259000,281692000,1321972212,-511,-0.01,-0.0039279046261531,-1327862000,-201404000,4.635349890995554
VTOL,Bristow Group Inc.,0.0909968869202091,14.981858407079644,0.5366134537806434,14.833333333333332,14.375000000000002,1415491000,94797000,222832000,1141610680,9.9,4,0.1285602257157678,-720799000,299041000,2.673392470353283
FLR,Fluor Corporation,0.0543492309680754,14.431654676258994,0.6302895322939867,21.690909090909088,21.77777777777778,16315000000,2145000000,732000000,7913470960,2.03,24.17,1.0510800508259213,1345000000,1925000000,-2.103053435114504
SHOP,Shopify Inc.,0.2577903682719547,14.295454545454543,139.875,14.7,14.499999999999998,8880000000,2019000000,1111000000,224780938770,96.08,1.8,0.2090111948809188,2228838131,5936180156,-0.1958762250242483
AVO,"Mission Produce, Inc.",0.294370479085858,14.107142857142858,1.5448275862068963,14.13131313131313,14.13131313131313,1234700000,36700000,110700000,821300040,21.15,0.55,0.068400052615425,43700000,144800000,1.7856477166821991
FDP,Fresh Del Monte Produce Inc.,-0.0093734811488879,13.473684210526317,0.9940387481371088,13.375,13.333333333333334,4280200000,142200000,267600000,1648898688,11.02,3.12,0.0747505622445049,-140900000,614600000,1.040712468193384
DOCU,"DocuSign, Inc.",0.0777936928514686,13.43477967018113,0.8268016463430222,13.52777777777778,13.11111111111111,2976739000,1067885000,357295000,14377253171,54.16,1.32,0.1405760661306046,1408790000,-457395000,-0.9936688386709184
ACHC,"Acadia Healthcare Company, Inc.",0.0769017235409927,12.797295426224212,2.2141565404993813,12.625000000000002,12.583333333333332,3153963000,255612000,607842000,2159525054,15.38,1.52,0.0455625489119351,-2223208000,167848000,4.520995696173084
GWRE,"Guidewire Software, Inc.",0.2263770312402791,12.437653612977224,38.09642372114079,12.185983827493262,11.91644204851752,1202459000,69804000,86364000,21178291012,313.17,0.8,0.0521258939955979,287773000,962613000,0.0851396415172988
FG,"F&G Annuities & Life, Inc.",0.2735287635001102,12.017241379310343,2.1202531645569622,11.595744680851064,11.106382978723405,5778000000,639000000,1479000000,4000415907,11.84,2.51,0.0795414668382266,5021000000,52077000000,0.2997438087105038
